game_id,game_name,review_score_all,review_score_desc_all,review_count_all_positive,review_count_all_negative,review_score_recent,review_score_desc_recent,review_count_recent_positive,review_count_recent_negative
570,Dota 2,8,Very Positive,715110,94375,8,Very Positive,715110,94375
730,Counter-Strike 2,8,Very Positive,2102567,327398,8,Very Positive,2102567,327398
252490,Rust,8,Very Positive,517049,81257,8,Very Positive,517049,81257
271590,Grand Theft Auto V,8,Very Positive,527129,105203,8,Very Positive,527129,105203
292030,The Witcher 3: Wild Hunt,9,Overwhelmingly Positive,238322,7811,9,Overwhelmingly Positive,238322,7811
413150,Stardew Valley,9,Overwhelmingly Positive,429755,5008,9,Overwhelmingly Positive,429755,5008
535230,Domina,5,Mixed,5418,3444,5,Mixed,5418,3444
553850,Helldivers 2,8,Very Positive,630945,136282,8,Very Positive,630945,136282
1006510,Devotion,6,Mostly Positive,469,129,6,Mostly Positive,469,129
1091500,Cyberpunk 2077,8,Very Positive,333572,45538,8,Very Positive,333572,45538
1145360,Hades,9,Overwhelmingly Positive,143872,2197,9,Overwhelmingly Positive,143872,2197
1151340,Fallout 76,6,Mostly Positive,54270,20144,6,Mostly Positive,54270,20144
1172470,Apex Legends,6,Mostly Positive,329596,99880,6,Mostly Positive,329596,99880
1245620,ELDEN RING,8,Very Positive,511047,33091,8,Very Positive,511047,33091
1623730,Palworld,9,Overwhelmingly Positive,155212,7485,9,Overwhelmingly Positive,155212,7485
1938090,Call of Duty: Modern Warfare II,5,Mixed,216478,147986,5,Mixed,216478,147986
